_id,OBJECTID,YOL_ID,SHAPE_Length,YOL_ISMI,YOL_TURU,YOL_TIPI,SERIT_SAYISI,KULLANILAN_SERIT,KAPLAMA_CINSI,YOLKN,IBB_KIMLIKNO,ACIKLAMA,UKOME_OZET,UKOME_GIRIS,UKOME_CIKIS,ANAARTER_TIP,SHAPE_Length_1
959,959,1026673,3549.835217,Çetin Emeç Bulvarı,1,1,4t,4,Asfalt,1026673,305030,UKOME1997/8-13 (07.07.1997) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME1997/8-13 (07.07.1997),Hala Anaarter,Anaarter (Mevcut)(11),211.3787567
960,960,1026770,722.4871257,Dinlenç Cad.,2,1,2t,2,Asfalt,1026770,158771,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),127.6294278
961,961,1026780,921.8731728,Koşuyolu Cad.,2,1,3ç,2,Asfalt,1026780,194236,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),10.13220465
962,962,1026782,202.0904065,Köftüncü Sk.,3,1,1t,1,Asfalt,1026782,222174,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),48.62500088
963,963,1026789,3445.621517,Tıbbiye Cad.,2,1,2t,2,Asfalt,1026789,113498,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),8.010879028
964,964,1026913,4084.188945,Dr. Eyüp Aksoy Cad.,2,1,2t,2,Asfalt,1026913,117878,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),46.55604304
965,965,1026924,4645.329793,Uzunçayır Köprülü Kavşağı,11,3,1t,1,Asfalt,1026924,114845,Bu YOLLAR  (21.02.2005) Tarihli Protokol ile Karayollarından  İBB?nin sorumluluğuna girmiş olup (11.07.2010) Tarihli Protokol ve FEN KURULU kararıyla İBB?nin sorumluluğundan çıkıp tekrar KARAYOLLARI?nın sorumluluğuna girmiştir.,Karayollari (2010 DEVİR PROTOKOLÜ) (99),(08.11.2004) Tarihli Karayolları 2004 Protokolü ve (21.02.2005) Tarihiyle yürürlüğe girmiştir,(01.06.2010) Tarihli Karayolları 2010 Protokolü ve (11.07.2010) Tarihiyle  yürürlüğe girmiştir,KARAYOLLARI(2010 Protokolu)(99),71.53983901
966,966,1026950,6598.796226,Anadolu Otoyolu Kavşağı,11,3,2t,2,Asfalt,1026950,108175,KARAYOLLARI Sorumluluğunda,Karayollari (Mevcut) (6),KARAYOLLARI Sorumluluğunda,KARAYOLLARI Sorumluluğunda,KARAYOLLARI(Mevcut)(66),1524.117985
967,967,1027016,534.8817602,Orgeneral Şahap Gürler Cad.,2,1,2t,2,Asfalt,1027016,294568,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),80.64244295
968,968,1027051,5170.196281,Şenol Güneş Bulvarı,1,1,2t,2,Asfalt,1027051,278299,UKOME2001/7-2 (27.07.2001) Kararıyla ANAARTER oldu,Anaarter (Mevcut) (1),UKOME2001/7-2 (27.07.2001),Hala Anaarter,Anaarter (Mevcut)(11),15.21376983
969,969,1027101,2256.741965,Alptekin Cad.,2,1,2t,2,Asfalt,1027101,176664,(20.08.2002) Karayolları Protokolü ve (20.10.2002) 2002/30 sayılı Bakanlık kararı ile (1.11.2002) Tarihiyle yürürlüğe girmiştir,Anaarter (2002 DEVİR inden Kalan Yollar),20.08.2002 Karayolları Protokolü ve (1.11.2002) Tarihiyle yürürlüğe girmiştir,Hala Anaarter,Anaarter (Mevcut)(11),16.39554788
970,970,1027128,6386.800541,Turgut Özal Bulvarı,1,1,2t,2,Asfalt,1027128,279193,UKOME2004/1-12 (14.01.2004) Kararıyla ANAARTER oldu.,Anaarter (Mevcut) (1),UKOME2004/1-12 (14.01.2004),Hala Anaarter,Anaarter (Mevcut)(11),103.3737856
971,971,1027155,3940.605749,Turgut Özal Bulvarı,1,1,2t,2,Parke,1027155,320415,UKOME2009/8-1 (17.12.2009) Kararıyla ANAARTER oldu,Anaarter (2009/8-1 EKLENEN) (3),UKOME2009/8-1 (17.12.2009),Hala Anaarter,Anaarter (UKOME 2009/8-1 ile)(33),71.76731495
972,972,1027167,1268.929643,Rıhtım Cad.,2,1,3t,2,Asfalt,1027167,307213,UKOME1986/5-2 (14.05.1986) Kararıyla ANAARTER oldu ----,Anaarter (Mevcut) (1),UKOME1986/5-2 (14.05.1986),Hala Anaarter,Anaarter (Mevcut)(11),24.78327099
